anio,mes,dia,hora(utc),altura(mm)
2016,1,22,23,-363 
2016,1,23,0,-282 
2016,1,23,1,-94 
2016,1,23,2,153 
2016,1,23,3,421 
2016,1,23,4,666 
2016,1,23,5,817 
2016,1,23,6,824 
2016,1,23,7,709 
2016,1,23,8,541 
2016,1,23,9,380 
2016,1,23,10,289 
2016,1,23,11,326 
2016,1,23,12,490 
2016,1,23,13,712 
2016,1,23,14,918 
2016,1,23,15,1066 
2016,1,23,16,1130 
2016,1,23,17,1078 
2016,1,23,18,897 
2016,1,23,19,624 
2016,1,23,20,323 
2016,1,23,21,38 
2016,1,23,22,-197 
2016,1,23,23,-331 
2016,1,24,0,-320 
2016,1,24,1,-177 
2016,1,24,2,47 
2016,1,24,3,306 
2016,1,24,4,561 
2016,1,24,5,759 
2016,1,24,6,833 
2016,1,24,7,765 
2016,1,24,8,610 
2016,1,24,9,436 
2016,1,24,10,301 
2016,1,24,11,266 
2016,1,24,12,369 
2016,1,24,13,576 
2016,1,24,14,805 
2016,1,24,15,992 
2016,1,24,16,1106 
2016,1,24,17,1116 
2016,1,24,18,997 
2016,1,24,19,760 
2016,1,24,20,468 
2016,1,24,21,183 
2016,1,24,22,-65 
2016,1,24,23,-241 
2016,1,25,0,-293 
2016,1,25,1,-205 
2016,1,25,2,-13 
2016,1,25,3,225 
2016,1,25,4,470 
2016,1,25,5,680 
2016,1,25,6,801 
2016,1,25,7,789 
2016,1,25,8,665 
2016,1,25,9,496 
2016,1,25,10,343 
2016,1,25,11,257 
2016,1,25,12,289 
2016,1,25,13,449 
2016,1,25,14,673 
2016,1,25,15,884 
2016,1,25,16,1035 
2016,1,25,17,1096 
2016,1,25,18,1036 
2016,1,25,19,851 
2016,1,25,20,585 
2016,1,25,21,307 
2016,1,25,22,62 
2016,1,25,23,-126 
2016,1,26,0,-220 
2016,1,26,1,-183 
2016,1,26,2,-31 
2016,1,26,3,183 
2016,1,26,4,410 
2016,1,26,5,613 
2016,1,26,6,751 
2016,1,26,7,782 
2016,1,26,8,701 
2016,1,26,9,550 
2016,1,26,10,394 
2016,1,26,11,280 
2016,1,26,12,254 
2016,1,26,13,347 
2016,1,26,14,537 
2016,1,26,15,751 
2016,1,26,16,926 
2016,1,26,17,1026 
2016,1,26,18,1021 
2016,1,26,19,893 
2016,1,26,20,669 
2016,1,26,21,411 
2016,1,26,22,174 
2016,1,26,23,-12 
2016,1,27,0,-122 
2016,1,27,1,-125 
2016,1,27,2,-13 
2016,1,27,3,173 
2016,1,27,4,380 
2016,1,27,5,570 
2016,1,27,6,708 
2016,1,27,7,762 
2016,1,27,8,718 
2016,1,27,9,597 
2016,1,27,10,449 
2016,1,27,11,321 
2016,1,27,12,255 
2016,1,27,13,284 
2016,1,27,14,417 
2016,1,27,15,607 
2016,1,27,16,787 
2016,1,27,17,913 
2016,1,27,18,954 
2016,1,27,19,883 
2016,1,27,20,712 
2016,1,27,21,490 
2016,1,27,22,272 
2016,1,27,23,94 
2016,1,28,0,-19 
2016,1,28,1,-45 
2016,1,28,2,31 
2016,1,28,3,185 
2016,1,28,4,372 
2016,1,28,5,547 
2016,1,28,6,681 
2016,1,28,7,743 
2016,1,28,8,724 
2016,1,28,9,635 
2016,1,28,10,508 
2016,1,28,11,378 
2016,1,28,12,284 
2016,1,28,13,262 
2016,1,28,14,330 
2016,1,28,15,471 
2016,1,28,16,634 
2016,1,28,17,767 
2016,1,28,18,839 
2016,1,28,19,822 
2016,1,28,20,709 
2016,1,28,21,534 
2016,1,28,22,349 
2016,1,28,23,190 
2016,1,29,0,80 
2016,1,29,1,43 
2016,1,29,2,91 
2016,1,29,3,213 
2016,1,29,4,374 
2016,1,29,5,533 
2016,1,29,6,660 
2016,1,29,7,730 
2016,1,29,8,728 
2016,1,29,9,665 
2016,1,29,10,566 
2016,1,29,11,450 
2016,1,29,12,342 
2016,1,29,13,279 
2016,1,29,14,288 
2016,1,29,15,368 
2016,1,29,16,489 
2016,1,29,17,607 
2016,1,29,18,689 
2016,1,29,19,712 
2016,1,29,20,658 
2016,1,29,21,538 
2016,1,29,22,396 
2016,1,29,23,270 
2016,1,30,0,176 
2016,1,30,1,134 
2016,1,30,2,161 
2016,1,30,3,252 
2016,1,30,4,382 
2016,1,30,5,518 
2016,1,30,6,635 
2016,1,30,7,710 
2016,1,30,8,726 
2016,1,30,9,688 
2016,1,30,10,616 
2016,1,30,11,526 
2016,1,30,12,425 
2016,1,30,13,336 
2016,1,30,14,293 
2016,1,30,15,311 
2016,1,30,16,376 
2016,1,30,17,458 
2016,1,30,18,528 
2016,1,30,19,566 
2016,1,30,20,559 
2016,1,30,21,498 
2016,1,30,22,407 
2016,1,30,23,322 
2016,1,31,0,259 
2016,1,31,1,227 
2016,1,31,2,239 
2016,1,31,3,302 
2016,1,31,4,398 
2016,1,31,5,503 
2016,1,31,6,600 
2016,1,31,7,673 
2016,1,31,8,707 
2016,1,31,9,698 
2016,1,31,10,656 
2016,1,31,11,597 
2016,1,31,12,519 
2016,1,31,13,427 
2016,1,31,14,347 
2016,1,31,15,307 
2016,1,31,16,309 
2016,1,31,17,339 
2016,1,31,18,377 
2016,1,31,19,406 
2016,1,31,20,421 
2016,1,31,21,412 
2016,1,31,22,379 
2016,1,31,23,340
